Date,SPY,AGG
2019-01-02,224.9953155517578,87.47138214111328
2019-01-03,219.62628173828125,87.83251190185547
2019-01-04,226.9828643798828,87.56986999511719
2019-01-07,228.77255249023438,87.422119140625
2019-01-08,230.9219207763672,87.3564682006836
2019-01-09,232.00119018554688,87.4303207397461
2019-01-10,232.8195037841797,87.33185577392578
2019-01-11,232.90948486328125,87.45498657226562
2019-01-14,231.4885711669922,87.33185577392578
2019-01-15,234.14157104492188,87.3482666015625
2019-01-16,234.70816040039062,87.422119140625
2019-01-17,236.48876953125,87.3564682006836
2019-01-18,239.63650512695312,87.29083251953125
2019-01-22,236.39889526367188,87.36466217041016
2019-01-23,236.89358520507812,87.45498657226562
2019-01-24,237.01939392089844,87.60269165039062
2019-01-25,239.02487182617188,87.56167602539062
2019-01-28,237.20826721191406,87.51242065429688
2019-01-29,236.89358520507812,87.74220275878906
2019-01-30,240.6437530517578,87.93921661376953
2019-01-31,242.75714111328125,88.20185089111328
2019-02-01,242.8740692138672,88.01922607421875
2019-02-04,244.582763671875,87.94510650634766
2019-02-05,245.60801696777344,88.13442993164062
2019-02-06,245.28433227539062,88.08503723144531
2019-02-07,242.94602966308594,88.12617492675781
2019-02-08,243.24288940429688,88.3236083984375
2019-02-11,243.377685546875,88.2331314086914
2019-02-12,246.5073699951172,88.24958801269531
2019-02-13,247.3078155517578,88.09324645996094
2019-02-14,246.75921630859375,88.22488403320312
2019-02-15,249.4481658935547,88.29076385498047
2019-02-19,249.8798828125,88.34010314941406
2019-02-20,250.38356018066406,88.34834289550781
2019-02-21,249.49322509765625,88.1508560180664
2019-02-22,251.04000854492188,88.37303924560547
2019-02-25,251.38177490234375,88.34834289550781
2019-02-26,251.201904296875,88.44712829589844
2019-02-27,251.09397888183594,88.25782775878906
2019-02-28,250.6263885498047,88.10153198242188
2019-03-01,252.19117736816406,87.95880126953125
2019-03-04,251.27389526367188,88.06600189208984
2019-03-05,250.93215942382812,88.12371826171875
2019-03-06,249.41220092773438,88.2557373046875
2019-03-07,247.3258056640625,88.50320434570312
2019-03-08,246.83119201660156,88.61868286132812
2019-03-11,250.4105682373047,88.626953125
2019-03-12,251.35482788085938,88.79193878173828
2019-03-13,253.01852416992188,88.75067138671875
2019-03-14,252.85665893554688,88.61868286132812
2019-03-15,254.10598754882812,88.8414077758789
2019-03-18,255.02728271484375,88.82493591308594
2019-03-19,255.09054565429688,88.77544403076172
2019-03-20,254.32272338867188,89.13838958740234
2019-03-21,257.19525146484375,89.15489959716797
2019-03-22,252.2451629638672,89.60033416748047
2019-03-25,252.05548095703125,89.76525115966797
2019-03-26,253.93431091308594,89.78179931640625
2019-03-27,252.60647583007812,89.97151947021484
2019-03-28,253.56398010253906,89.97978210449219
2019-03-29,255.1628875732422,89.97151947021484
2019-04-01,258.1888122558594,89.55974578857422
